ID Gender,Gender,ID Year,Year,ID Employment Time Status,Employment Time Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography
1,"Male",2018,"2018",1,"Full-time","291141","Registered nurses",79154.57733261093,2206.6556271194977,350680,14517.563117846075,3328,"United States","01000US","united-states"
2,"Female",2018,"2018",1,"Full-time","291141","Registered nurses",69504.76112730334,601.7465698164336,2303231,36900.16293113683,22997,"United States","01000US","united-states"
2,"Female",2018,"2018",1,"Full-time","533030","Driver/sales workers & truck drivers",34868.16864013566,1481.604272682828,172201,10180.761340907795,1437,"United States","01000US","united-states"
2,"Female",2018,"2018",1,"Full-time","1191XX","Other managers",84870.85539890073,1635.7935806961978,1206616,26832.506071582666,12175,"United States","01000US","united-states"
2,"Female",2018,"2018",1,"Full-time","252020","Elementary & middle school teachers",52834.29031643385,393.6325475488563,2592485,39100.51314100535,27704,"United States","01000US","united-states"
1,"Male",2018,"2018",1,"Full-time","412010","Cashiers",29377.368363881073,1481.2181515747877,377442,15059.643209087988,2946,"United States","01000US","united-states"
1,"Male",2018,"2018",1,"Full-time","533030","Driver/sales workers & truck drivers",48238.07161097327,484.96118747610274,2868862,41083.41593494066,26340,"United States","01000US","united-states"
1,"Male",2018,"2018",1,"Full-time","1191XX","Other managers",116107.94792599171,1702.065254370769,2247532,36459.89261580017,22634,"United States","01000US","united-states"
1,"Male",2018,"2018",1,"Full-time","252020","Elementary & middle school teachers",58707.68119616862,754.9957914852632,737488,21018.96949164615,7661,"United States","01000US","united-states"
2,"Female",2018,"2018",1,"Full-time","412010","Cashiers",23713.38007911866,634.2194177797156,862502,22718.82607662708,7097,"United States","01000US","united-states"
1,"Male",2017,"2017",1,"Full-time","252020","Elementary & middle school teachers",57558.76088055774,792.3200985387562,698103,20452.463414421294,7452,"United States","01000US","united-states"
1,"Male",2017,"2017",1,"Full-time","412010","Cashiers",27736.20697096411,1215.7906795684414,357282,14652.83448530944,2859,"United States","01000US","united-states"
1,"Male",2017,"2017",1,"Full-time","291141","Registered nurses",76585.50746743224,1822.6857902573454,323940,13954.35984911001,3109,"United States","01000US","united-states"
2,"Female",2017,"2017",1,"Full-time","291141","Registered nurses",68123.82858790166,586.3625258527621,2259963,36553.15886694136,22607,"United States","01000US","united-states"
2,"Female",2017,"2017",1,"Full-time","412010","Cashiers",23762.230888023863,612.7032935227157,879357,22936.787250335896,7257,"United States","01000US","united-states"
2,"Female",2017,"2017",1,"Full-time","533030","Driver/sales workers & truck drivers",34443.4343847987,1571.345577964294,159460,9797.311260460481,1309,"United States","01000US","united-states"
2,"Female",2017,"2017",1,"Full-time","252020","Elementary & middle school teachers",52207.54076842982,373.9895941608288,2529678,38627.81040929982,26964,"United States","01000US","united-states"
1,"Male",2017,"2017",1,"Full-time","533030","Driver/sales workers & truck drivers",46838.00734022254,505.7020313169418,2758227,40295.088392714395,25316,"United States","01000US","united-states"
1,"Male",2016,"2016",1,"Full-time","252020","Elementary & middle school teachers",56115.086588168146,784.6518877370311,679758,20182.261637439853,7235,"United States","01000US","united-states"
2,"Female",2016,"2016",1,"Full-time","252020","Elementary & middle school teachers",50837.80180190715,394.50945522686555,2479928,38245.45918356949,26413,"United States","01000US","united-states"
2,"Female",2016,"2016",1,"Full-time","533030","Driver/sales workers & truck drivers",37228.2280237701,2410.328823863913,139503,9164.399912049279,1181,"United States","01000US","united-states"
2,"Female",2016,"2016",1,"Full-time","412010","Cashiers",22759.824063074248,650.8572451479405,899004,23187.735672517858,7302,"United States","01000US","united-states"
2,"Female",2016,"2016",1,"Full-time","291141","Registered nurses",66334.97685704372,555.8828756636003,2239083,36379.59055441003,21921,"United States","01000US","united-states"
